box_x,box_y,timestamp,density
20,20,87,3
20,20,88,1
20,20,89,4
20,20,91,6
20,20,93,5
20,20,95,1
20,20,96,1
20,20,98,6
20,20,99,1
20,20,100,5
20,20,101,2
20,20,102,1
20,20,103,2
20,20,106,1
20,20,107,1
20,20,108,2
20,20,109,3
20,20,112,2
20,20,114,2
20,20,115,2
20,20,116,2
20,20,117,2
20,20,119,4
20,20,121,2
20,20,138,1
20,20,139,1
21,8,1,2
21,8,11,2
21,8,48,1
21,8,52,1
21,8,57,1
21,8,60,1
21,8,64,3
21,8,65,8
21,8,66,3
21,8,71,1
21,8,72,2
21,8,73,1
21,8,74,1
21,8,76,2
21,8,77,1
21,8,80,1
21,8,81,3
21,8,83,1
21,8,85,2
21,8,86,3
21,8,87,1
21,8,89,2
21,8,90,1
21,8,93,2
21,8,94,2
21,8,95,1
21,8,96,1
21,8,97,2
21,8,99,4
21,8,100,3
21,8,101,3
21,8,102,2
21,8,105,1
21,8,106,1
21,8,110,2
21,8,112,2
21,8,114,3
21,8,115,6
21,8,117,1
21,8,118,1
21,8,121,2
21,8,123,1
21,8,124,2
21,8,125,1
21,8,127,2
21,8,128,1
21,8,129,1
21,8,132,3
21,8,136,1
21,9,12,1
21,9,16,1
21,9,17,1
21,9,40,2
21,9,41,1
21,9,45,2
21,9,47,1
21,9,52,1
21,9,59,4
21,9,60,2
21,9,64,1
21,9,65,1
21,9,66,3
21,9,67,4
21,9,69,2
21,9,70,1
21,9,74,2
21,9,75,1
21,9,79,1
21,9,81,6
21,9,82,2
21,9,83,1
21,9,84,5
21,9,85,1
21,9,88,3
21,9,89,2
21,9,93,2
21,9,96,1
21,9,97,4
21,9,98,4
21,9,99,3
21,9,100,1
21,9,101,2
21,9,102,2
21,9,104,2
21,9,105,2
21,9,106,2
21,9,109,2
21,9,111,1
21,9,113,5
21,9,115,2
21,9,116,2
21,9,117,7
21,9,118,3
21,9,120,4
21,9,121,4
21,9,122,5
21,9,123,3
21,9,127,1
21,9,129,2
21,9,131,1
21,9,132,1
21,9,135,3
21,9,136,1
21,9,138,3
21,9,141,1
21,10,1,1
21,10,7,1
21,10,10,1
21,10,11,1
21,10,17,4
21,10,38,1
21,10,50,1
21,10,51,1
21,10,57,2
21,10,58,2
21,10,61,1
21,10,62,2
21,10,68,1
21,10,69,1
21,10,71,4
21,10,72,3
21,10,73,1
21,10,75,2
21,10,76,1
21,10,77,4
21,10,78,1
21,10,80,2
21,10,81,1
21,10,82,1
21,10,83,1
21,10,85,1
21,10,86,2
21,10,89,2
21,10,92,1
21,10,94,3
21,10,95,4
21,10,96,2
21,10,98,3
21,10,99,1
21,10,102,2
21,10,103,1
21,10,104,4
21,10,106,4
21,10,107,3
21,10,108,1
21,10,110,6
21,10,111,1
21,10,112,3
21,10,113,1
21,10,118,2
21,10,120,1
21,10,121,1
21,10,125,1
21,10,129,1
21,10,130,1
21,10,131,2
21,10,134,2
21,10,138,1
21,10,140,1
21,10,141,1
21,11,11,2
21,11,59,1
21,11,68,1
21,11,73,1
21,11,74,3
21,11,77,1
21,11,78,2
21,11,79,3
21,11,82,1
21,11,87,2
21,11,93,2
21,11,94,2
21,11,95,1
21,11,108,1
21,11,112,2
21,11,114,2
21,11,115,1
21,11,116,2
21,11,121,1
21,11,123,2
21,11,129,1
21,11,135,2
21,11,137,1
21,12,0,1
21,12,6,1
21,12,12,2
21,12,13,1
21,12,15,3
21,12,35,3
21,12,36,1
21,12,50,1
21,12,53,1
21,12,58,1
21,12,60,4
21,12,62,1
21,12,64,3
21,12,66,2
21,12,67,1
21,12,68,3
21,12,69,1
21,12,71,1
21,12,74,2
21,12,80,1
21,12,82,1
21,12,84,3
21,12,85,3
21,12,86,1
21,12,87,2
21,12,89,2
21,12,92,4
21,12,93,2
21,12,94,2
21,12,95,1
21,12,98,3
21,12,99,3
21,12,100,4
21,12,101,1
21,12,102,1
21,12,104,3
21,12,105,1
21,12,108,3
21,12,109,13
21,12,110,2
21,12,111,2
21,12,112,2
21,12,113,1
21,12,114,6
21,12,117,5
21,12,118,6
21,12,120,2
21,12,122,2
21,12,123,3
21,12,124,4
21,12,126,5
21,12,129,2
21,12,130,5
21,12,132,2
21,12,133,1
21,12,134,1
21,12,135,3
21,12,136,3
21,12,138,1
21,12,141,2
21,13,3,3
21,13,4,4
21,13,6,9
21,13,7,2
21,13,8,1
21,13,9,2
21,13,10,1
21,13,11,1
21,13,12,3
21,13,16,1
21,13,17,1
21,13,27,2
21,13,29,1
21,13,32,1
21,13,40,2
21,13,43,2
21,13,47,1
21,13,48,1
21,13,49,1
21,13,53,3
21,13,54,4
21,13,55,2
21,13,58,3
21,13,59,1
21,13,60,3
21,13,61,1
21,13,62,4
21,13,63,3
21,13,65,2
21,13,66,4
21,13,67,2
21,13,68,1
21,13,69,2
21,13,70,1
21,13,71,5
21,13,72,3
21,13,73,6
21,13,74,4
21,13,75,2
21,13,76,6
21,13,77,3
21,13,78,2
21,13,79,2
21,13,80,5
21,13,81,7
21,13,82,7
21,13,83,6
21,13,84,2
21,13,85,5
21,13,86,8
21,13,87,8
21,13,88,5
21,13,89,16
21,13,90,3
21,13,91,4
21,13,92,12
21,13,93,12
21,13,94,6
21,13,95,13
21,13,96,10
21,13,97,8
21,13,98,18
21,13,99,14
21,13,100,5
21,13,101,15
21,13,102,10
21,13,103,6
21,13,104,2
21,13,106,6
21,13,107,3
21,13,108,1
21,13,109,6
21,13,110,7
21,13,111,9
21,13,112,5
21,13,113,16
21,13,114,6
21,13,115,6
21,13,116,8
21,13,117,5
21,13,118,1
21,13,119,12
21,13,120,10
21,13,121,8
21,13,122,5
21,13,124,2
21,13,125,12
21,13,126,10
21,13,127,6
21,13,128,8
21,13,129,10
21,13,130,9
21,13,131,2
21,13,133,1
21,13,134,3
21,13,135,6
21,13,136,7
21,13,137,8
21,13,138,8
21,13,139,8
21,13,140,7
21,13,141,1
21,13,142,4
21,13,143,6
21,13,144,3
22,8,1,5
22,8,2,1
22,8,3,4
22,8,4,2
22,8,6,1
22,8,9,1
22,8,10,1
22,8,11,1
22,8,13,2
22,8,16,1
22,8,41,1
22,8,43,1
22,8,45,1
22,8,46,1
22,8,47,1
22,8,48,1
22,8,49,1
22,8,52,1
22,8,53,2
22,8,55,2
22,8,56,1
22,8,58,1
22,8,59,2
22,8,61,4
22,8,62,4
22,8,65,1
22,8,67,2
22,8,68,5
22,8,69,7
22,8,70,4
22,8,71,5
22,8,72,1
22,8,73,4
22,8,74,3
22,8,76,1
22,8,77,1
22,8,78,5
22,8,79,5
22,8,80,1
22,8,81,4
22,8,82,1
22,8,83,2
22,8,84,2
22,8,85,2
22,8,86,2
22,8,87,7
22,8,88,2
22,8,89,7
22,8,90,4
22,8,91,7
22,8,92,1
22,8,93,3
22,8,94,3
22,8,95,6
22,8,96,4
22,8,97,7
22,8,98,1
22,8,99,6
